Id,Title,ThumbnailUrl,VideoUrl,PublicationDate,Channel
244,虹にはオス・メスがあるし、昔はマラリアを注射してた【うんちくしりとりパンクラチオン】#33,https://i.ytimg.com/vi/bDVpBNIXXh4/sddefault.jpg,https://www.youtube.com/watch?v=bDVpBNIXXh4,2021-06-29,ゆる言語学ラジオ
245,言語学とコンピュータ科学の共通点は、赤ちゃん。【赤ちゃんの言語以外】#147,https://i.ytimg.com/vi/gPeqJGMSB2A/sddefault.jpg,https://www.youtube.com/watch?v=gPeqJGMSB2A,2022-08-02,ゆる言語学ラジオ
246,慶應SFCでゲスト講義してきた【出張ゆる言語学ラジオ】#148,https://i.ytimg.com/vi/nh6Ru3TQMzo/sddefault.jpg,https://www.youtube.com/watch?v=nh6Ru3TQMzo,2022-08-05,ゆる言語学ラジオ
247,「学び」研究の第一人者の言葉が重すぎる【今井先生雑談回】#149,https://i.ytimg.com/vi/6AO_a9H5gTY/sddefault.jpg,https://www.youtube.com/watch?v=6AO_a9H5gTY,2022-08-09,ゆる言語学ラジオ
248,子どもの言い間違い「つめたまる」が素晴らしすぎる【赤ちゃんミステイクアワード2 with今井先生】#150,https://i.ytimg.com/vi/ivG_fbmuV5M/sddefault.jpg,https://www.youtube.com/watch?v=ivG_fbmuV5M,2022-08-12,ゆる言語学ラジオ
249,【ゲーム実況③】単語の解読が困難すぎて苦悩するゲーム【7days to end with you】#163,https://i.ytimg.com/vi/RTO89LjFUKw/sddefault.jpg,https://www.youtube.com/watch?v=RTO89LjFUKw,2022-09-27,ゆる言語学ラジオ
250,飲み会よりも読書を優先するコンビによる2022年ベスト本紹介 #174,https://i.ytimg.com/vi/yZTjFVnmTaw/sddefault.jpg,https://www.youtube.com/watch?v=yZTjFVnmTaw,2022-11-04,ゆる言語学ラジオ
251,サポーターと奴隷合宿をしたら竹刀が持ち込まれた話【奴隷合宿】#175,https://i.ytimg.com/vi/a1Z0zP-r-yQ/sddefault.jpg,https://www.youtube.com/watch?v=a1Z0zP-r-yQ,2022-11-08,ゆる言語学ラジオ
252,気になる言葉について90分ふざけながら講演しました【出張ゆる言語学ラジオ】#176,https://i.ytimg.com/vi/UJLMyeqm1Ys/sddefault.jpg,https://www.youtube.com/watch?v=UJLMyeqm1Ys,2022-11-11,ゆる言語学ラジオ
253,韓国語は日本語のパラレルワールド？【記述言語学者から見た言語1】#177,https://i.ytimg.com/vi/IR0iK5D1xlE/sddefault.jpg,https://www.youtube.com/watch?v=IR0iK5D1xlE,2022-11-15,ゆる言語学ラジオ
254,記述言語学者が語る、世界で日本語にしかない特徴は？【記述言語学者から見た言語2】#178,https://i.ytimg.com/vi/_Mis8HokuhQ/sddefault.jpg,https://www.youtube.com/watch?v=_Mis8HokuhQ,2022-11-18,ゆる言語学ラジオ
255,【飢餓・マラリア・ロケット弾】凄腕作家の危険すぎる語学体験【高野秀行さんゲスト雑談】#179,https://i.ytimg.com/vi/QYJgtpVVu-I/sddefault.jpg,https://www.youtube.com/watch?v=QYJgtpVVu-I,2022-11-22,ゆる言語学ラジオ
256,【ウビフ語】言語学者の間で有名な言語10選【ホピ語】#180,https://i.ytimg.com/vi/tvqAcsay9qA/sddefault.jpg,https://www.youtube.com/watch?v=tvqAcsay9qA,2022-11-25,ゆる言語学ラジオ
257,言語学者がオシャレな論文名を全力で紹介【薄幸のベネファクティブ】#181,https://i.ytimg.com/vi/9NZPwACPpbQ/sddefault.jpg,https://www.youtube.com/watch?v=9NZPwACPpbQ,2022-11-29,ゆる言語学ラジオ
258,【言語沼】ゆる言語学ラジオの本が出ました！【執筆裏話】#182,https://i.ytimg.com/vi/qY2RrfwTqXg/sddefault.jpg,https://www.youtube.com/watch?v=qY2RrfwTqXg,2022-12-02,ゆる言語学ラジオ
259,90分ひたすら辞書を読んで盛り上がる回 #183,https://i.ytimg.com/vi/Ohoo0cjmAUI/sddefault.jpg,https://www.youtube.com/watch?v=Ohoo0cjmAUI,2022-12-06,ゆる言語学ラジオ
260,語源オタクが最も感動したエモい語源「opportunity」【ターゲット1900⑥】#184,https://i.ytimg.com/vi/malHm23v-Y4/sddefault.jpg,https://www.youtube.com/watch?v=malHm23v-Y4,2022-12-09,ゆる言語学ラジオ
261,【ゲーム実況④】記述言語学者と未知の言語解読ゲーム【7days to end with you】#185,https://i.ytimg.com/vi/pUiOJFc19pg/sddefault.jpg,https://www.youtube.com/watch?v=pUiOJFc19pg,2022-12-13,ゆる言語学ラジオ
262,DeepL翻訳が出した存在しない四字熟語「別日同腹」が怖すぎる【おたよりを読む回】#186,https://i.ytimg.com/vi/xaDxvchr78s/sddefault.jpg,https://www.youtube.com/watch?v=xaDxvchr78s,2022-12-16,ゆる言語学ラジオ
263,手話に対する間違ったイメージを一新する【手話1】#187,https://i.ytimg.com/vi/L8JOs6BM94k/sddefault.jpg,https://www.youtube.com/watch?v=L8JOs6BM94k,2022-12-20,ゆる言語学ラジオ
264,宇宙人は手話で会話をしているかもしれない【手話2】#188,https://i.ytimg.com/vi/6mZWR7GV0is/sddefault.jpg,https://www.youtube.com/watch?v=6mZWR7GV0is,2022-12-23,ゆる言語学ラジオ
265,熊本の方言「しこった」は下ネタじゃない【ベスト方言グランプリ3】#189,https://i.ytimg.com/vi/1dY8Uy7YB9s/sddefault.jpg,https://www.youtube.com/watch?v=1dY8Uy7YB9s,2022-12-27,ゆる言語学ラジオ
266,年末だから、夢を語っても許されるよね？【雑談回】#190,https://i.ytimg.com/vi/GO-v6xLxonk/sddefault.jpg,https://www.youtube.com/watch?v=GO-v6xLxonk,2022-12-30,ゆる言語学ラジオ
